date	day	week	n	person	p.r	oneday	twoday	threeday	fourday	fiveday	sixday	sevenday	oneweek	twoweek
2020-02-24	월	1	423	8	0.01891253	0	0	0	0	0	0	0	0	0
2020-02-25	화	1	324	18	0.055555556	0.01891253	0	0	0	0	0	0	0	0
2020-02-26	수	1	771	13	0.016861219	0.055555556	0.037234043	0	0	0	0	0	0	0
2020-02-27	목	1	954	8	0.008385744	0.016861219	0.036208387	0.030443101	0	0	0	0	0	0
2020-02-28	금	1	1313	5	0.003808073	0.008385744	0.012623482	0.026934173	0.024928762	0	0	0	0	0
2020-02-29	토	1	1095	14	0.012785388	0.003808073	0.006096909	0.009685012	0.021152648	0.020704624	0	0	0	0
2020-03-01	일	2	937	4	0.004268943	0.012785388	0.008296731	0.008326402	0.010460106	0.019479196	0.019384752	0	0.019384752	0
2020-03-02	월	2	699	6	0.008583691	0.004268943	0.008527166	0.006954135	0.007312037	0.009221874	0.016944154	0.01722535	0.019384752	0
2020-03-03	화	2	25	2	0.08	0.008583691	0.006426317	0.008546008	0.007361524	0.007566368	0.00911551	0.015749802	0.019384752	0
2020-03-04	수	2	1630	3	0.001840491	0.08	0.044291845	0.030950878	0.026409506	0.021889219	0.01963864	0.019241866	0.019384752	0
2020-03-05	목	2	670	0	0	0.001840491	0.040920245	0.030141394	0.023673281	0.021495703	0.018547764	0.017096047	0.019384752	0
2020-03-06	금	2	450	3	0.006666667	0	0.000920245	0.027280164	0.022606045	0.018938625	0.017913086	0.015898084	0.019384752	0
2020-03-07	토	2	526	1	0.001901141	0.006666667	0.003333333	0.002835719	0.022126789	0.01941817	0.016893299	0.016306454	0.019384752	0
2020-03-08	일	3	345	1	0.002898551	0.001901141	0.004283904	0.002855936	0.002602075	0.01808166	0.016498665	0.014751562	0.014751562	0.016889957
2020-03-09	월	3	263	0	0	0.002898551	0.002399846	0.003822119	0.00286659	0.00266137	0.015551141	0.014555791	0.014751562	0.016889957
2020-03-10	화	3	554	0	0	0	0.001449275	0.001599897	0.00286659	0.002293272	0.002217808	0.01332955	0.014751562	0.016889957
2020-03-11	수	3	471	2	0.004246285	0	0	0.000966184	0.001199923	0.002293272	0.00191106	0.001900978	0.014751562	0.016889957
2020-03-12	목	3	428	2	0.004672897	0.004246285	0.002123142	0.001415428	0.001786209	0.001809195	0.002618774	0.002244663	0.014751562	0.016889957
2020-03-13	금	3	481	1	0.002079002	0.004672897	0.004459591	0.002973061	0.002229795	0.002363546	0.002286479	0.00291222	0.014751562	0.016889957
2020-03-14	토	3	469	3	0.006396588	0.002079002	0.00337595	0.003666061	0.002749546	0.002199637	0.002316122	0.002256839	0.014751562	0.016889957
2020-03-15	일	4	351	3	0.008547009	0.006396588	0.004237795	0.004382829	0.004348693	0.003478954	0.002899129	0.002899046	0.002899046	0.016889957
2020-03-16	월	4	378	1	0.002645503	0.008547009	0.007471799	0.0056742	0.005423874	0.005188356	0.00432363	0.003705969	0.002899046	0.016889957
2020-03-17	화	4	477	0	0	0.002645503	0.005596256	0.005863033	0.004917025	0.0048682	0.004764547	0.004083898	0.002899046	0.016889957
2020-03-18	수	4	642	0	0	0	0.001322751	0.003730837	0.004397275	0.00393362	0.004056833	0.004083898	0.002899046	0.016889957
2020-03-19	목	4	443	0	0	0	0	0.000881834	0.002798128	0.00351782	0.003278017	0.003477286	0.002899046	0.016889957
2020-03-20	금	4	437	1	0.00228833	0	0	0	0.000661376	0.002238502	0.002931517	0.002809729	0.002899046	0.016889957
2020-03-21	토	4	355	0	0	0.00228833	0.001144165	0.000762777	0.000572082	0.000986766	0.002246807	0.002839633	0.002899046	0.016889957
2020-03-22	일	5	276	0	0	0	0.001144165	0.000762777	0.000572082	0.000457666	0.000822305	0.001925834	0.001925834	0.00241244
2020-03-23	월	5	194	1	0.005154639	0	0	0.000762777	0.000572082	0.000457666	0.000381388	0.000704833	0.001925834	0.00241244
2020-03-24	화	5	331	2	0.006042296	0.005154639	0.00257732	0.001718213	0.001860742	0.001488594	0.001240495	0.001063281	0.001925834	0.00241244
2020-03-25	수	5	407	1	0.002457002	0.006042296	0.005598468	0.003732312	0.002799234	0.002697053	0.002247544	0.001926466	0.001925834	0.00241244
2020-03-26	목	5	386	0	0	0.002457002	0.004249649	0.004551313	0.003413484	0.002730788	0.002657045	0.002277467	0.001925834	0.00241244
2020-03-27	금	5	318	1	0.003144654	0	0.001228501	0.0028331	0.003413484	0.002730788	0.002275656	0.002277467	0.001925834	0.00241244
2020-03-28	토	5	463	1	0.002159827	0.003144654	0.001572327	0.001867219	0.002910988	0.003359718	0.002799765	0.002399799	0.001925834	0.00241244
2020-03-29	일	6	300	3	0.01	0.002159827	0.002652241	0.00176816	0.001940371	0.002760756	0.003159737	0.002708346	0.002708346	0.00241244
2020-03-30	월	6	221	1	0.004524887	0.01	0.006079914	0.005101494	0.00382612	0.003552297	0.003967297	0.004136917	0.002708346	0.00241244
2020-03-31	화	6	371	1	0.002695418	0.004524887	0.007262443	0.005561571	0.004957342	0.003965874	0.003714395	0.004046952	0.002708346	0.00241244
2020-04-01	수	6	462	3	0.006493506	0.002695418	0.003610152	0.005740102	0.004845033	0.004504957	0.003754131	0.003568827	0.002708346	0.00241244
2020-04-02	목	6	376	0	0	0.006493506	0.004594462	0.00457127	0.005928453	0.005174728	0.004836382	0.00414547	0.002708346	0.00241244
2020-04-03	금	6	398	0	0	0	0.003246753	0.003062975	0.003428453	0.004742762	0.004312273	0.00414547	0.002708346	0.00241244
2020-04-04	토	6	386	0	0	0	0	0.002164502	0.002297231	0.002742762	0.003952302	0.003696234	0.002708346	0.00241244
2020-04-05	일	7	239	0	0	0	0	0	0.001623377	0.001837785	0.002285635	0.003387687	0.003387687	0.003048016
2020-04-06	월	7	276	0	0	0	0	0	0	0.001298701	0.001531487	0.001959116	0.003387687	0.003048016
2020-04-07	화	7	258	1	0.003875969	0	0	0	0	0	0.001082251	0.001312703	0.003387687	0.003048016
2020-04-08	수	7	647	2	0.00309119	0.003875969	0.001937984	0.00129199	0.000968992	0.000775194	0.000645995	0.001481354	0.003387687	0.003048016
2020-04-09	목	7	598	0	0	0.00309119	0.00348358	0.002322386	0.00174179	0.001393432	0.001161193	0.000995308	0.003387687	0.003048016
2020-04-10	금	7	534	1	0.001872659	0	0.001545595	0.002322386	0.00174179	0.001393432	0.001161193	0.000995308	0.003387687	0.003048016
2020-04-11	토	7	635	0	0	0.001872659	0.00093633	0.001654616	0.002209955	0.001767964	0.001473303	0.001262831	0.003387687	0.003048016
2020-04-12	일	8	535	0	0	0	0.00093633	0.00062422	0.001240962	0.001767964	0.001473303	0.001262831	0.001262831	0.003048016
2020-04-13	월	8	286	0	0	0	0	0.00062422	0.000468165	0.00099277	0.001473303	0.001262831	0.001262831	0.003048016
2020-04-14	화	8	309	0	0	0	0	0	0.000468165	0.000374532	0.000827308	0.001262831	0.001262831	0.003048016
2020-04-15	수	8	313	1	0.003194888	0	0	0	0	0.000374532	0.00031211	0.000709121	0.001262831	0.003048016
2020-04-16	목	8	418	3	0.007177033	0.003194888	0.001597444	0.001064963	0.000798722	0.000638978	0.000844591	0.000723935	0.001262831	0.003048016
2020-04-17	금	8	644	0	0	0.007177033	0.005185961	0.003457307	0.00259298	0.002074384	0.001728654	0.001749226	0.001262831	0.003048016
2020-04-18	토	8	394	0	0	0	0.003588517	0.003457307	0.00259298	0.002074384	0.001728654	0.001481703	0.001262831	0.003048016
2020-04-19	일	9	281	0	0	0	0	0.002392344	0.00259298	0.002074384	0.001728654	0.001481703	0.001481703	0.001372267
2020-04-20	월	9	490	2	0.004081633	0	0	0	0.001794258	0.002074384	0.001728654	0.001481703	0.001481703	0.001372267
