date	day	week	n	person	p.r	oneday	twoday	threeday	fourday	fiveday	sixday	sevenday
2020-03-07	토	2	481	2	0.004158004	0	0	0	0	0	0	0
2020-03-08	일	3	465	6	0.012903226	0.004158004	0	0	0	0	0	0
2020-03-09	월	3	455	4	0.008791209	0.012903226	0.008530615	0	0	0	0	0
2020-03-10	화	3	917	2	0.002181025	0.008791209	0.010847217	0.00861748	0	0	0	0
2020-03-11	수	3	959	8	0.008342023	0.002181025	0.005486117	0.007958487	0.007008366	0	0	0
2020-03-12	목	3	557	2	0.003590664	0.008342023	0.005261524	0.006438086	0.008054371	0.007275097	0	0
2020-03-13	금	3	760	1	0.001315789	0.003590664	0.005966344	0.004704571	0.00572623	0.007161629	0.006661025	0
2020-03-14	토	3	1284	0	0	0.001315789	0.002453227	0.004416159	0.003857375	0.004844142	0.006187323	0.00589742
2020-03-15	일	4	304	0	0	0	0.000657895	0.001635485	0.003312119	0.0030859	0.004036785	0.005303419
2020-03-16	월	4	115	0	0	0	0	0.000438596	0.001226613	0.002649695	0.002571584	0.003460102
2020-03-17	화	4	455	0	0	0	0	0	0.000328947	0.000981291	0.002208079	0.002204215
2020-03-18	수	4	418	3	0.007177033	0	0	0	0	0.000263158	0.000817742	0.00189264
2020-03-19	목	4	374	0	0	0.007177033	0.003588517	0.002392344	0.001794258	0.001435407	0.00141547	0.001726212
2020-03-20	금	4	525	1	0.001904762	0	0.003588517	0.002392344	0.001794258	0.001435407	0.001196172	0.00121326
2020-03-21	토	4	526	0	0	0.001904762	0.000952381	0.003027265	0.002270449	0.001816359	0.001513633	0.001297399
2020-03-22	일	5	264	1	0.003787879	0	0.000952381	0.000634921	0.002270449	0.001816359	0.001513633	0.001297399
2020-03-23	월	5	65	0	0	0.003787879	0.001893939	0.001897547	0.00142316	0.002573935	0.002144946	0.001838525
2020-03-24	화	5	390	0	0	0	0.001893939	0.001262626	0.00142316	0.001138528	0.002144946	0.001838525
2020-03-25	수	5	348	3	0.00862069	0	0	0.001262626	0.00094697	0.001138528	0.000948773	0.001838525
2020-03-26	목	5	294	1	0.003401361	0.00862069	0.004310345	0.002873563	0.003102142	0.002481714	0.002385555	0.002044761
2020-03-27	금	5	345	0	0	0.003401361	0.006011025	0.00400735	0.003005513	0.003161986	0.002634988	0.00253067
2020-03-28	토	5	379	2	0.005277045	0	0.00170068	0.00400735	0.003005513	0.00240441	0.002634988	0.002258561
2020-03-29	일	6	171	1	0.005847953	0.005277045	0.002638522	0.002892802	0.004324774	0.003459819	0.002883183	0.003012425
2020-03-30	월	6	150	0	0	0.005847953	0.005562499	0.003708333	0.00363159	0.00462941	0.003857841	0.003306721
2020-03-31	화	6	404	1	0.002475248	0	0.002923977	0.003708333	0.00278125	0.002905272	0.003857841	0.003306721
2020-04-01	수	6	368	3	0.008152174	0.002475248	0.001237624	0.0027744	0.003400061	0.002720049	0.002833601	0.003660328
2020-04-02	목	6	426	2	0.004694836	0.008152174	0.005313711	0.003542474	0.004118844	0.004350484	0.003625403	0.003593397
2020-04-03	금	6	352	1	0.002840909	0.004694836	0.006423505	0.005107419	0.003830564	0.004234042	0.004407876	0.003778179
2020-04-04	토	6	632	1	0.001582278	0.002840909	0.003767872	0.005229306	0.004540792	0.003632633	0.004001853	0.004184023
2020-04-05	일	7	128	0	0	0.001582278	0.002211594	0.003039341	0.004317549	0.003949089	0.003290907	0.0036562
2020-04-06	월	7	132	1	0.007575758	0	0.000791139	0.001474396	0.002279506	0.003454039	0.003290907	0.002820778
2020-04-07	화	7	331	1	0.003021148	0.007575758	0.003787879	0.003052679	0.002999736	0.003338756	0.004140992	0.003903029
2020-04-08	수	7	352	0	0	0.003021148	0.005298453	0.003532302	0.003044796	0.003004019	0.003285821	0.003981015
2020-04-09	목	7	376	1	0.002659574	0	0.001510574	0.003532302	0.002649226	0.002435837	0.002503349	0.002816418
2020-04-10	금	7	263	0	0	0.002659574	0.001329787	0.001893574	0.00331412	0.002651296	0.002473126	0.002525667
2020-04-11	토	7	273	0	0	0	0.001329787	0.000886525	0.001420181	0.002651296	0.002209413	0.002119823
2020-04-12	일	8	67	1	0.014925373	0	0	0.000886525	0.000664894	0.001136145	0.002209413	0.001893783
2020-04-13	월	8	70	0	0	0.014925373	0.007462687	0.004975124	0.004396237	0.00351699	0.003434349	0.004025979
2020-04-14	화	8	403	0	0	0	0.007462687	0.004975124	0.003731343	0.00351699	0.002930825	0.002943728
2020-04-15	수	8	207	0	0	0	0	0.004975124	0.003731343	0.002985075	0.002930825	0.002512135
2020-04-16	목	8	139	0	0	0	0	0	0.003731343	0.002985075	0.002487562	0.002512135
2020-04-17	금	8	350	0	0	0	0	0	0	0.002985075	0.002487562	0.002132196
2020-04-18	토	8	297	2	0.006734007	0	0	0	0	0	0.002487562	0.002132196
2020-04-19	일	9	244	0	0	0.006734007	0.003367003	0.002244669	0.001683502	0.001346801	0.001122334	0.003094197
2020-04-20	월	9	96	0	0	0	0.003367003	0.002244669	0.001683502	0.001346801	0.001122334	0.000962001
2020-04-21	화	9	305	0	0	0	0	0.002244669	0.001683502	0.001346801	0.001122334	0.000962001
2020-04-22	수	9	254	0	0	0	0	0	0.001683502	0.001346801	0.001122334	0.000962001
2020-04-23	목	9	187	0	0	0	0	0	0	0.001346801	0.001122334	0.000962001
2020-04-24	금	9	174	0	0	0	0	0	0	0	0.001122334	0.000962001
2020-04-25	토	9	192	0	0	0	0	0	0	0	0	0.000962001
2020-04-26	일	10	101	0	0	0	0	0	0	0	0	0
2020-04-27	월	10	89	1	0.011235955	0	0	0	0	0	0	0
2020-04-28	화	10	204	0	0	0.011235955	0.005617978	0.003745318	0.002808989	0.002247191	0.001872659	0.001605136
2020-04-29	수	10	156	1	0.006410256	0	0.005617978	0.003745318	0.002808989	0.002247191	0.001872659	0.001605136
2020-04-30	목	10	189	0	0	0.006410256	0.003205128	0.00588207	0.004411553	0.003529242	0.002941035	0.002520887
2020-05-01	금	10	181	0	0	0	0.003205128	0.002136752	0.004411553	0.003529242	0.002941035	0.002520887
2020-05-02	토	10	272	0	0	0	0	0.002136752	0.001602564	0.003529242	0.002941035	0.002520887
2020-05-03	일	11	115	0	0	0	0	0	0.001602564	0.001282051	0.002941035	0.002520887
2020-05-04	월	11	103	0	0	0	0	0	0	0.001282051	0.001068376	0.002520887
2020-05-05	화	11	360	0	0	0	0	0	0	0	0.001068376	0.000915751
2020-05-06	수	11	94	0	0	0	0	0	0	0	0	0.000915751
2020-05-07	목	11	206	0	0	0	0	0	0	0	0	0
2020-05-08	금	11	230	0	0	0	0	0	0	0	0	0
2020-05-09	토	11	181	0	0	0	0	0	0	0	0	0
2020-05-10	일	12	88	0	0	0	0	0	0	0	0	0
2020-05-11	월	12	181	0	0	0	0	0	0	0	0	0
2020-05-12	화	12	444	0	0	0	0	0	0	0	0	0
2020-05-13	수	12	481	0	0	0	0	0	0	0	0	0
2020-05-14	목	12	453	1	0.002207506	0	0	0	0	0	0	0
2020-05-15	금	12	383	0	0	0.002207506	0.001103753	0.000735835	0.000551876	0.000441501	0.000367918	0.000315358
2020-05-16	토	12	380	0	0	0	0.001103753	0.000735835	0.000551876	0.000441501	0.000367918	0.000315358
2020-05-17	일	13	325	0	0	0	0	0.000735835	0.000551876	0.000441501	0.000367918	0.000315358
2020-05-18	월	13	266	0	0	0	0	0	0.000551876	0.000441501	0.000367918	0.000315358
2020-05-19	화	13	232	0	0	0	0	0	0	0.000441501	0.000367918	0.000315358
2020-05-20	수	13	282	0	0	0	0	0	0	0	0.000367918	0.000315358
2020-05-21	목	13	422	1	0.002369668	0	0	0	0	0	0	0.000315358
2020-05-22	금	13	354	0	0	0.002369668	0.001184834	0.000789889	0.000592417	0.000473934	0.000394945	0.000338524
2020-05-23	토	13	417	0	0	0	0.001184834	0.000789889	0.000592417	0.000473934	0.000394945	0.000338524
