"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	0
"2"	2020-02-09	"positive.rate"	0
"3"	2020-02-10	"positive.rate"	0
"4"	2020-02-11	"positive.rate"	0
"5"	2020-02-12	"positive.rate"	0
"6"	2020-02-13	"positive.rate"	0
"7"	2020-02-14	"positive.rate"	0
"8"	2020-02-15	"positive.rate"	0
"9"	2020-02-16	"positive.rate"	0
"10"	2020-02-17	"positive.rate"	0
"11"	2020-02-18	"positive.rate"	0
"12"	2020-02-19	"positive.rate"	0
"13"	2020-02-20	"positive.rate"	0
"14"	2020-02-21	"positive.rate"	0
"15"	2020-02-22	"positive.rate"	0
"16"	2020-02-23	"positive.rate"	0
"17"	2020-02-24	"positive.rate"	112.795104253609
"18"	2020-02-25	"positive.rate"	258.135399178164
"19"	2020-02-26	"positive.rate"	452.575582430524
"20"	2020-02-27	"positive.rate"	623.704412365822
"21"	2020-02-28	"positive.rate"	783.398870905903
"22"	2020-02-29	"positive.rate"	1024.81029816314
"23"	2020-03-01	"positive.rate"	1145.36396619796
"24"	2020-03-02	"positive.rate"	1272.14850835156
"25"	2020-03-03	"positive.rate"	1285.48868435156
"26"	2020-03-04	"positive.rate"	1423.90179568094
"27"	2020-03-05	"positive.rate"	1435.06846234761
"28"	2020-03-06	"positive.rate"	1507.16135230009
"29"	2020-03-07	"positive.rate"	1552.55626950439
"30"	2020-03-08	"positive.rate"	1589.22655963929
"31"	2020-03-09	"positive.rate"	1593.60989297262
"32"	2020-03-10	"positive.rate"	1602.84322630595
"33"	2020-03-11	"positive.rate"	1663.28153679317
"34"	2020-03-12	"positive.rate"	1720.85315672626
"35"	2020-03-13	"positive.rate"	1764.24313463084
"36"	2020-03-14	"positive.rate"	1837.85780723432
"37"	2020-03-15	"positive.rate"	1901.39219136064
"38"	2020-03-16	"positive.rate"	1939.79743540709
"39"	2020-03-17	"positive.rate"	1947.74743540709
"40"	2020-03-18	"positive.rate"	1958.44743540709
