"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	0
"2"	2020-02-09	"positive.rate"	0
"3"	2020-02-10	"positive.rate"	0
"4"	2020-02-11	"positive.rate"	0
"5"	2020-02-12	"positive.rate"	0
"6"	2020-02-13	"positive.rate"	0
"7"	2020-02-14	"positive.rate"	0
"8"	2020-02-15	"positive.rate"	0
"9"	2020-02-16	"positive.rate"	0
"10"	2020-02-17	"positive.rate"	0
"11"	2020-02-18	"positive.rate"	0
"12"	2020-02-19	"positive.rate"	0
"13"	2020-02-20	"positive.rate"	0
"14"	2020-02-21	"positive.rate"	0
"15"	2020-02-22	"positive.rate"	0
"16"	2020-02-23	"positive.rate"	0
"17"	2020-02-24	"positive.rate"	0
"18"	2020-02-25	"positive.rate"	0
"19"	2020-02-26	"positive.rate"	0
"20"	2020-02-27	"positive.rate"	0
"21"	2020-02-28	"positive.rate"	0
"22"	2020-02-29	"positive.rate"	0
"23"	2020-03-01	"positive.rate"	0
"24"	2020-03-02	"positive.rate"	0
"25"	2020-03-03	"positive.rate"	0
"26"	2020-03-04	"positive.rate"	0
"27"	2020-03-05	"positive.rate"	0
"28"	2020-03-06	"positive.rate"	0
"29"	2020-03-07	"positive.rate"	61.0836836006416
"30"	2020-03-08	"positive.rate"	164.045562746543
"31"	2020-03-09	"positive.rate"	247.52525560036
"32"	2020-03-10	"positive.rate"	332.213940755571
"33"	2020-03-11	"positive.rate"	503.815611969303
"34"	2020-03-12	"positive.rate"	569.62097315576
"35"	2020-03-13	"positive.rate"	624.27208727318
"36"	2020-03-14	"positive.rate"	645.672087273181
"37"	2020-03-15	"positive.rate"	650.738753939847
"38"	2020-03-16	"positive.rate"	652.655420606514
"39"	2020-03-17	"positive.rate"	660.238753939847
"40"	2020-03-18	"positive.rate"	729.684488381595
"41"	2020-03-19	"positive.rate"	735.917821714929
"42"	2020-03-20	"positive.rate"	781.268368552525
"43"	2020-03-21	"positive.rate"	790.035035219192
