"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	0.85
"2"	2020-02-09	"positive.rate"	1.43333333333333
"3"	2020-02-10	"positive.rate"	1.8
"4"	2020-02-11	"positive.rate"	2.58333333333333
"5"	2020-02-12	"positive.rate"	3.7
"6"	2020-02-13	"positive.rate"	4.53333333333333
"7"	2020-02-14	"positive.rate"	5.11666666666667
"8"	2020-02-15	"positive.rate"	5.63333333333333
"9"	2020-02-16	"positive.rate"	6.01666666666667
"10"	2020-02-17	"positive.rate"	6.18333333333333
"11"	2020-02-18	"positive.rate"	6.8
"12"	2020-02-19	"positive.rate"	7.13333333333333
"13"	2020-02-20	"positive.rate"	8.03333333333333
"14"	2020-02-21	"positive.rate"	37.8656829518215
"15"	2020-02-22	"positive.rate"	65.6945234170794
"16"	2020-02-23	"positive.rate"	161.135659366818
"17"	2020-02-24	"positive.rate"	251.800497821513
"18"	2020-02-25	"positive.rate"	291.380224200552
"19"	2020-02-26	"positive.rate"	367.328229351194
"20"	2020-02-27	"positive.rate"	498.691530583852
"21"	2020-02-28	"positive.rate"	636.215852405334
"22"	2020-02-29	"positive.rate"	775.537233128449
"23"	2020-03-01	"positive.rate"	806.369144101492
"24"	2020-03-02	"positive.rate"	866.355181396692
"25"	2020-03-03	"positive.rate"	910.328480752181
"26"	2020-03-04	"positive.rate"	974.801006306393
"27"	2020-03-05	"positive.rate"	1109.31155580751
"28"	2020-03-06	"positive.rate"	1189.51017457606
"29"	2020-03-07	"positive.rate"	1306.23366544463
"30"	2020-03-08	"positive.rate"	1330.90511798389
"31"	2020-03-09	"positive.rate"	1338.38845131722
"32"	2020-03-10	"positive.rate"	1344.80511798389
"33"	2020-03-11	"positive.rate"	1384.38484436293
"34"	2020-03-12	"positive.rate"	1418.26434772874
"35"	2020-03-13	"positive.rate"	1426.94768106208
"36"	2020-03-14	"positive.rate"	1429.48101439541
"37"	2020-03-15	"positive.rate"	1433.83101439541
"38"	2020-03-16	"positive.rate"	1437.23101439541
"39"	2020-03-17	"positive.rate"	1462.0622059651
"40"	2020-03-18	"positive.rate"	1466.27887263176
"41"	2020-03-19	"positive.rate"	1471.0622059651
"42"	2020-03-20	"positive.rate"	1494.85229889644
"43"	2020-03-21	"positive.rate"	1498.15229889644
"44"	2020-03-22	"positive.rate"	1521.86201176434
"45"	2020-03-23	"positive.rate"	1544.11337646337
"46"	2020-03-24	"positive.rate"	1578.39336862673
"47"	2020-03-25	"positive.rate"	1582.92670196006
"48"	2020-03-26	"positive.rate"	1585.81003529339
"49"	2020-03-27	"positive.rate"	1618.62192963519
"50"	2020-03-28	"positive.rate"	1623.15526296853
"51"	2020-03-29	"positive.rate"	1663.74837594736
"52"	2020-03-30	"positive.rate"	1693.80602724266
"53"	2020-03-31	"positive.rate"	1725.95129313602
"54"	2020-04-01	"positive.rate"	1790.48186218071
"55"	2020-04-02	"positive.rate"	1874.23779553351
"56"	2020-04-03	"positive.rate"	1916.23309255342
"57"	2020-04-04	"positive.rate"	1934.85280303064
"58"	2020-04-05	"positive.rate"	1969.3614118014
"59"	2020-04-06	"positive.rate"	2034.92466423822
"60"	2020-04-07	"positive.rate"	2067.31252156134
"61"	2020-04-08	"positive.rate"	2101.53533348763
"62"	2020-04-09	"positive.rate"	2156.25679193946
"63"	2020-04-10	"positive.rate"	2159.02345860613
"64"	2020-04-11	"positive.rate"	2162.32345860613
"65"	2020-04-12	"positive.rate"	2164.90679193946
"66"	2020-04-13	"positive.rate"	2166.97345860613
"67"	2020-04-14	"positive.rate"	2169.84012527279
"68"	2020-04-15	"positive.rate"	2174.15679193946
"69"	2020-04-16	"positive.rate"	2180.00679193946
"70"	2020-04-17	"positive.rate"	2211.90924782728
"71"	2020-04-18	"positive.rate"	2213.99258116061
"72"	2020-04-19	"positive.rate"	2219.25924782728
"73"	2020-04-20	"positive.rate"	2221.27591449394
"74"	2020-04-21	"positive.rate"	2228.95924782728
"75"	2020-04-22	"positive.rate"	2257.53836025499
"76"	2020-04-23	"positive.rate"	2260.87169358832
"77"	2020-04-24	"positive.rate"	2263.85502692165
"78"	2020-04-25	"positive.rate"	2266.67169358832
"79"	2020-04-26	"positive.rate"	2269.05502692165
"80"	2020-04-27	"positive.rate"	2271.83836025499
"81"	2020-04-28	"positive.rate"	2274.27169358832
"82"	2020-04-29	"positive.rate"	2277.37169358832
"83"	2020-04-30	"positive.rate"	2279.55502692165
"84"	2020-05-01	"positive.rate"	2282.63836025499
"85"	2020-05-02	"positive.rate"	2283.78836025499
"86"	2020-05-03	"positive.rate"	2284.57169358832
"87"	2020-05-04	"positive.rate"	2288.23836025499
"88"	2020-05-05	"positive.rate"	2289.62169358832
"89"	2020-05-06	"positive.rate"	2291.95502692165
"90"	2020-05-07	"positive.rate"	2294.63836025499
"91"	2020-05-08	"positive.rate"	2297.65502692165
"92"	2020-05-09	"positive.rate"	2298.47169358832
"93"	2020-05-10	"positive.rate"	2301.10502692165
"94"	2020-05-11	"positive.rate"	2303.35502692165
"95"	2020-05-12	"positive.rate"	2340.29532869615
"96"	2020-05-13	"positive.rate"	2379.82616751775
"97"	2020-05-14	"positive.rate"	2387.30950085109
"98"	2020-05-15	"positive.rate"	2393.24283418442
"99"	2020-05-16	"positive.rate"	2397.15950085109
"100"	2020-05-17	"positive.rate"	2397.15950085109
"101"	2020-05-18	"positive.rate"	2397.15950085109
"102"	2020-05-19	"positive.rate"	2402.12616751775
"103"	2020-05-20	"positive.rate"	2404.97616751775
"104"	2020-05-21	"positive.rate"	2408.72616751775
"105"	2020-05-22	"positive.rate"	2451.18680063176
"106"	2020-05-23	"positive.rate"	2490.71763945336
"107"	2020-05-24	"positive.rate"	2495.4009727867
"108"	2020-05-25	"positive.rate"	2497.96763945336
"109"	2020-05-26	"positive.rate"	2504.71763945336
"110"	2020-05-27	"positive.rate"	2512.7009727867
"111"	2020-05-28	"positive.rate"	2522.7009727867
"112"	2020-05-29	"positive.rate"	2532.61763945336
"113"	2020-05-30	"positive.rate"	2543.9009727867
"114"	2020-05-31	"positive.rate"	2553.48430612003
"115"	2020-06-01	"positive.rate"	2559.4009727867
"116"	2020-06-02	"positive.rate"	2566.2009727867
"117"	2020-06-03	"positive.rate"	2583.76763945336
"118"	2020-06-04	"positive.rate"	2600.08430612003
"119"	2020-06-05	"positive.rate"	2612.53430612003
"120"	2020-06-06	"positive.rate"	2643.17287338596
"121"	2020-06-07	"positive.rate"	2656.62287338596
"122"	2020-06-08	"positive.rate"	2661.08954005263
"123"	2020-06-09	"positive.rate"	2708.69732837026
"124"	2020-06-10	"positive.rate"	2791.22299140397
"125"	2020-06-11	"positive.rate"	2803.07299140397
"126"	2020-06-12	"positive.rate"	2813.0563247373
"127"	2020-06-13	"positive.rate"	2818.33965807063
"128"	2020-06-14	"positive.rate"	2822.9063247373
"129"	2020-06-15	"positive.rate"	2883.97011118309
"130"	2020-06-16	"positive.rate"	2936.99176073897
"131"	2020-06-17	"positive.rate"	2944.57509407231
"132"	2020-06-18	"positive.rate"	2953.04176073897
"133"	2020-06-19	"positive.rate"	2961.07509407231
"134"	2020-06-20	"positive.rate"	2966.39176073897
"135"	2020-06-21	"positive.rate"	3000.32850977665
"136"	2020-06-22	"positive.rate"	3004.01184310999
"137"	2020-06-23	"positive.rate"	3012.24517644332
"138"	2020-06-24	"positive.rate"	3020.57850977665
"139"	2020-06-25	"positive.rate"	3027.32850977665
"140"	2020-06-26	"positive.rate"	3035.32850977665
"141"	2020-06-27	"positive.rate"	3037.82850977665
"142"	2020-06-28	"positive.rate"	3041.14517644332
"143"	2020-06-29	"positive.rate"	3074.96742284801
"144"	2020-06-30	"positive.rate"	3081.88408951468
"145"	2020-07-01	"positive.rate"	3090.10075618134
"146"	2020-07-02	"positive.rate"	3097.68408951468
"147"	2020-07-03	"positive.rate"	3146.14687420763
"148"	2020-07-04	"positive.rate"	3176.97878518067
"149"	2020-07-05	"positive.rate"	3180.11211851401
"150"	2020-07-06	"positive.rate"	3219.0299180624
"151"	2020-07-07	"positive.rate"	3226.66325139573
"152"	2020-07-08	"positive.rate"	3282.09473347288
"153"	2020-07-09	"positive.rate"	3333.70659805453
"154"	2020-07-10	"positive.rate"	3400.19930692562
"155"	2020-07-11	"positive.rate"	3401.31597359229
"156"	2020-07-12	"positive.rate"	3437.12085061611
"157"	2020-07-13	"positive.rate"	3482.927047884
"158"	2020-07-14	"positive.rate"	3492.41038121733
"159"	2020-07-15	"positive.rate"	3499.26038121733
"160"	2020-07-16	"positive.rate"	3539.23098819991
"161"	2020-07-17	"positive.rate"	3588.09411937868
"162"	2020-07-18	"positive.rate"	3629.21609680505
"163"	2020-07-19	"positive.rate"	3632.48276347171
"164"	2020-07-20	"positive.rate"	3682.3047783348
"165"	2020-07-21	"positive.rate"	3690.1047783348
"166"	2020-07-22	"positive.rate"	3725.18423232084
"167"	2020-07-23	"positive.rate"	3727.90089898751
"168"	2020-07-24	"positive.rate"	3793.10080483637
"169"	2020-07-25	"positive.rate"	3797.71747150304
"170"	2020-07-26	"positive.rate"	3800.60080483637
"171"	2020-07-27	"positive.rate"	3804.46747150304
"172"	2020-07-28	"positive.rate"	3813.05080483637
"173"	2020-07-29	"positive.rate"	3819.58413816971
"174"	2020-07-30	"positive.rate"	3860.67650860392
"175"	2020-07-31	"positive.rate"	3866.85984193726
"176"	2020-08-01	"positive.rate"	3869.59317527059
"177"	2020-08-02	"positive.rate"	3873.97650860392
"178"	2020-08-03	"positive.rate"	3926.18264192692
