"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	0
"2"	2020-02-09	"positive.rate"	0
"3"	2020-02-10	"positive.rate"	0
"4"	2020-02-11	"positive.rate"	0
"5"	2020-02-12	"positive.rate"	0
"6"	2020-02-13	"positive.rate"	0
"7"	2020-02-14	"positive.rate"	0
"8"	2020-02-15	"positive.rate"	0
"9"	2020-02-16	"positive.rate"	1.46666666666667
"10"	2020-02-17	"positive.rate"	1.46666666666667
"11"	2020-02-18	"positive.rate"	1.51666666666667
"12"	2020-02-19	"positive.rate"	1.63333333333333
"13"	2020-02-20	"positive.rate"	1.63333333333333
"14"	2020-02-21	"positive.rate"	2.1
"15"	2020-02-22	"positive.rate"	2.36666666666667
"16"	2020-02-23	"positive.rate"	3.43333333333333
"17"	2020-02-24	"positive.rate"	4.08333333333333
"18"	2020-02-25	"positive.rate"	5.51666666666667
"19"	2020-02-26	"positive.rate"	6.35
"20"	2020-02-27	"positive.rate"	6.35
"21"	2020-02-28	"positive.rate"	6.35
"22"	2020-02-29	"positive.rate"	27.0536684747894
"23"	2020-03-01	"positive.rate"	48.4211235959195
"24"	2020-03-02	"positive.rate"	67.6697325454009
"25"	2020-03-03	"positive.rate"	67.6697325454009
"26"	2020-03-04	"positive.rate"	68.8030658787342
"27"	2020-03-05	"positive.rate"	69.5697325454009
"28"	2020-03-06	"positive.rate"	70.3197325454009
"29"	2020-03-07	"positive.rate"	71.1197325454009
"30"	2020-03-08	"positive.rate"	71.8530658787342
"31"	2020-03-09	"positive.rate"	71.8530658787342
"32"	2020-03-10	"positive.rate"	72.3697325454009
"33"	2020-03-11	"positive.rate"	72.9197325454009
"34"	2020-03-12	"positive.rate"	73.8030658787342
"35"	2020-03-13	"positive.rate"	77.7863992120676
"36"	2020-03-14	"positive.rate"	78.3030658787342
"37"	2020-03-15	"positive.rate"	80.0197325454009
"38"	2020-03-16	"positive.rate"	80.3863992120676
"39"	2020-03-17	"positive.rate"	82.0530658787342
