"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	12.4166666666667
"2"	2020-02-09	"positive.rate"	88.5842397914732
"3"	2020-02-10	"positive.rate"	97.1175731248066
"4"	2020-02-11	"positive.rate"	166.346551466809
"5"	2020-02-12	"positive.rate"	187.996551466809
"6"	2020-02-13	"positive.rate"	202.779884800143
"7"	2020-02-14	"positive.rate"	214.963218133476
"8"	2020-02-15	"positive.rate"	219.579884800143
"9"	2020-02-16	"positive.rate"	269.772214018168
"10"	2020-02-17	"positive.rate"	316.49149842314
"11"	2020-02-18	"positive.rate"	507.946901734332
"12"	2020-02-19	"positive.rate"	701.853258349329
"13"	2020-02-20	"positive.rate"	1364.96827368509
"14"	2020-02-21	"positive.rate"	2452.97423552757
"15"	2020-02-22	"positive.rate"	4538.42140163218
"16"	2020-02-23	"positive.rate"	5350.59330853848
"17"	2020-02-24	"positive.rate"	8325.06230667649
"18"	2020-02-25	"positive.rate"	9737.51260985578
"19"	2020-02-26	"positive.rate"	13973.3087057227
"20"	2020-02-27	"positive.rate"	18909.0239485548
"21"	2020-02-28	"positive.rate"	24434.4148647948
"22"	2020-02-29	"positive.rate"	30595.5031402303
"23"	2020-03-01	"positive.rate"	33765.551235696
"24"	2020-03-02	"positive.rate"	38076.4662752337
"25"	2020-03-03	"positive.rate"	44070.257030297
"26"	2020-03-04	"positive.rate"	48587.5786144717
"27"	2020-03-05	"positive.rate"	52557.7933155877
"28"	2020-03-06	"positive.rate"	58486.0176713937
"29"	2020-03-07	"positive.rate"	63377.4531573364
"30"	2020-03-08	"positive.rate"	67114.3778093687
"31"	2020-03-09	"positive.rate"	69843.0256391964
"32"	2020-03-10	"positive.rate"	72445.8699565522
"33"	2020-03-11	"positive.rate"	75784.5547794073
"34"	2020-03-12	"positive.rate"	78129.0785335486
"35"	2020-03-13	"positive.rate"	80529.5290879531
"36"	2020-03-14	"positive.rate"	82811.5891200642
"37"	2020-03-15	"positive.rate"	84222.5861541929
"38"	2020-03-16	"positive.rate"	85553.8254940466
"39"	2020-03-17	"positive.rate"	87541.2596601262
"40"	2020-03-18	"positive.rate"	89321.9688987892
"41"	2020-03-19	"positive.rate"	91883.2064974726
"42"	2020-03-20	"positive.rate"	93674.5343625407
"43"	2020-03-21	"positive.rate"	96133.0264096822
"44"	2020-03-22	"positive.rate"	97383.7125411405
"45"	2020-03-23	"positive.rate"	98620.6391734874
"46"	2020-03-24	"positive.rate"	100376.179000868
"47"	2020-03-25	"positive.rate"	102260.622252814
"48"	2020-03-26	"positive.rate"	103926.110868825
"49"	2020-03-27	"positive.rate"	105975.349037695
"50"	2020-03-28	"positive.rate"	108439.712582564
"51"	2020-03-29	"positive.rate"	110008.693244848
"52"	2020-03-30	"positive.rate"	110550.956809853
"53"	2020-03-31	"positive.rate"	113266.481182791
"54"	2020-04-01	"positive.rate"	115326.235499484
"55"	2020-04-02	"positive.rate"	117190.516170558
"56"	2020-04-03	"positive.rate"	119142.048471901
"57"	2020-04-04	"positive.rate"	121201.669152769
"58"	2020-04-05	"positive.rate"	122582.717657727
"59"	2020-04-06	"positive.rate"	123584.906491034
"60"	2020-04-07	"positive.rate"	124968.239269329
"61"	2020-04-08	"positive.rate"	126301.760276893
"62"	2020-04-09	"positive.rate"	127449.304775653
"63"	2020-04-10	"positive.rate"	128385.492503371
"64"	2020-04-11	"positive.rate"	129315.473397251
"65"	2020-04-12	"positive.rate"	130028.736290467
"66"	2020-04-13	"positive.rate"	130659.245494416
"67"	2020-04-14	"positive.rate"	131615.683323368
"68"	2020-04-15	"positive.rate"	132479.478437203
"69"	2020-04-16	"positive.rate"	133078.905994288
"70"	2020-04-17	"positive.rate"	133890.944811676
"71"	2020-04-18	"positive.rate"	134658.630814534
"72"	2020-04-19	"positive.rate"	135024.680035056
"73"	2020-04-20	"positive.rate"	135470.31993318
"74"	2020-04-21	"positive.rate"	136001.916770728
"75"	2020-04-22	"positive.rate"	136549.440906957
"76"	2020-04-23	"positive.rate"	136984.177263271
"77"	2020-04-24	"positive.rate"	137346.191798397
"78"	2020-04-25	"positive.rate"	137816.403733785
"79"	2020-04-26	"positive.rate"	138165.144339292
"80"	2020-04-27	"positive.rate"	138527.793322196
"81"	2020-04-28	"positive.rate"	139140.660820702
"82"	2020-04-29	"positive.rate"	139588.663664067
"83"	2020-04-30	"positive.rate"	139888.280332147
"84"	2020-05-01	"positive.rate"	140222.793802106
"85"	2020-05-02	"positive.rate"	140548.264138763
"86"	2020-05-03	"positive.rate"	140963.299704801
"87"	2020-05-04	"positive.rate"	141266.641267917
"88"	2020-05-05	"positive.rate"	141540.481011929
"89"	2020-05-06	"positive.rate"	141690.715845386
"90"	2020-05-07	"positive.rate"	142006.073562979
"91"	2020-05-08	"positive.rate"	142512.949442038
"92"	2020-05-09	"positive.rate"	143114.509399805
"93"	2020-05-10	"positive.rate"	143822.994828437
"94"	2020-05-11	"positive.rate"	144609.712069991
"95"	2020-05-12	"positive.rate"	145753.869946057
"96"	2020-05-13	"positive.rate"	146991.754191071
"97"	2020-05-14	"positive.rate"	148321.542345781
"98"	2020-05-15	"positive.rate"	149592.487644876
"99"	2020-05-16	"positive.rate"	150629.331868689
"100"	2020-05-17	"positive.rate"	151204.8094316
"101"	2020-05-18	"positive.rate"	151775.140948963
"102"	2020-05-19	"positive.rate"	152570.655072627
"103"	2020-05-20	"positive.rate"	153734.322274264
"104"	2020-05-21	"positive.rate"	154495.39267233
"105"	2020-05-22	"positive.rate"	155533.959514701
"106"	2020-05-23	"positive.rate"	156573.782541268
"107"	2020-05-24	"positive.rate"	157328.066578835
"108"	2020-05-25	"positive.rate"	157947.677244827
"109"	2020-05-26	"positive.rate"	158933.964539314
"110"	2020-05-27	"positive.rate"	160379.205181673
"111"	2020-05-28	"positive.rate"	162576.256987712
"112"	2020-05-29	"positive.rate"	164502.818378114
"113"	2020-05-30	"positive.rate"	166149.571688283
"114"	2020-05-31	"positive.rate"	167061.798815118
"115"	2020-06-01	"positive.rate"	168261.541365733
"116"	2020-06-02	"positive.rate"	169918.641854591
"117"	2020-06-03	"positive.rate"	171720.671429179
"118"	2020-06-04	"positive.rate"	173330.968762998
"119"	2020-06-05	"positive.rate"	174945.939949575
"120"	2020-06-06	"positive.rate"	176632.537237452
"121"	2020-06-07	"positive.rate"	177910.52703833
"122"	2020-06-08	"positive.rate"	178803.174857045
"123"	2020-06-09	"positive.rate"	180429.000097714
"124"	2020-06-10	"positive.rate"	182192.951470974
"125"	2020-06-11	"positive.rate"	183810.181229805
"126"	2020-06-12	"positive.rate"	185592.284739864
"127"	2020-06-13	"positive.rate"	187162.472751935
"128"	2020-06-14	"positive.rate"	188008.898863932
"129"	2020-06-15	"positive.rate"	188885.35414565
"130"	2020-06-16	"positive.rate"	190251.287799782
"131"	2020-06-17	"positive.rate"	191729.329112343
"132"	2020-06-18	"positive.rate"	193445.792737764
"133"	2020-06-19	"positive.rate"	194978.828944865
"134"	2020-06-20	"positive.rate"	196802.664239381
"135"	2020-06-21	"positive.rate"	197814.097228126
"136"	2020-06-22	"positive.rate"	198423.321690222
"137"	2020-06-23	"positive.rate"	200003.288444494
"138"	2020-06-24	"positive.rate"	201581.512894216
"139"	2020-06-25	"positive.rate"	202721.622036494
"140"	2020-06-26	"positive.rate"	204061.914585166
"141"	2020-06-27	"positive.rate"	205567.810409856
"142"	2020-06-28	"positive.rate"	206940.162549349
"143"	2020-06-29	"positive.rate"	208098.82285134
"144"	2020-06-30	"positive.rate"	209602.248575393
"145"	2020-07-01	"positive.rate"	211108.20917792
"146"	2020-07-02	"positive.rate"	212605.689773394
"147"	2020-07-03	"positive.rate"	214300.508787134
"148"	2020-07-04	"positive.rate"	215992.592680143
"149"	2020-07-05	"positive.rate"	217226.94131167
"150"	2020-07-06	"positive.rate"	218233.670050645
"151"	2020-07-07	"positive.rate"	219804.859686028
"152"	2020-07-08	"positive.rate"	221622.428401696
"153"	2020-07-09	"positive.rate"	223135.189048256
"154"	2020-07-10	"positive.rate"	224650.832409062
"155"	2020-07-11	"positive.rate"	225932.995973587
"156"	2020-07-12	"positive.rate"	226870.041378579
"157"	2020-07-13	"positive.rate"	228079.504889941
"158"	2020-07-14	"positive.rate"	229338.155965457
"159"	2020-07-15	"positive.rate"	230611.583259752
"160"	2020-07-16	"positive.rate"	232147.979679317
"161"	2020-07-17	"positive.rate"	233643.358286398
"162"	2020-07-18	"positive.rate"	234822.066788789
"163"	2020-07-19	"positive.rate"	235638.71840362
"164"	2020-07-20	"positive.rate"	236339.983405798
"165"	2020-07-21	"positive.rate"	237800.285868242
"166"	2020-07-22	"positive.rate"	239332.750638073
"167"	2020-07-23	"positive.rate"	240745.200791035
"168"	2020-07-24	"positive.rate"	241972.393194083
"169"	2020-07-25	"positive.rate"	243858.777304992
"170"	2020-07-26	"positive.rate"	244830.321885233
"171"	2020-07-27	"positive.rate"	245454.932064751
"172"	2020-07-28	"positive.rate"	246537.764461851
"173"	2020-07-29	"positive.rate"	247873.309900207
"174"	2020-07-30	"positive.rate"	248665.54103691
"175"	2020-07-31	"positive.rate"	249693.355064444
"176"	2020-08-01	"positive.rate"	250676.985097622
"177"	2020-08-02	"positive.rate"	251391.170001058
"178"	2020-08-03	"positive.rate"	251948.772432868
"179"	2020-08-04	"positive.rate"	253100.274780081
"180"	2020-08-05	"positive.rate"	254138.449231726
"181"	2020-08-06	"positive.rate"	255313.448380267
"182"	2020-08-07	"positive.rate"	256061.15656686
"183"	2020-08-08	"positive.rate"	257127.460666586
"184"	2020-08-09	"positive.rate"	257882.668903211
"185"	2020-08-10	"positive.rate"	258509.276515567
"186"	2020-08-11	"positive.rate"	259632.323845343
"187"	2020-08-12	"positive.rate"	260986.61110614
"188"	2020-08-13	"positive.rate"	262319.981230555
"189"	2020-08-14	"positive.rate"	264322.954214878
"190"	2020-08-15	"positive.rate"	266854.306266632
"191"	2020-08-16	"positive.rate"	269432.629545449
"192"	2020-08-17	"positive.rate"	271644.704859611
"193"	2020-08-18	"positive.rate"	274447.441383081
"194"	2020-08-19	"positive.rate"	278943.570065037
"195"	2020-08-20	"positive.rate"	283497.215418222
"196"	2020-08-21	"positive.rate"	288452.19046716
"197"	2020-02-08	"mv1"	12.4166666666667
"198"	2020-02-09	"mv1"	20.7666666666667
"199"	2020-02-10	"mv1"	98.6065817163692
"200"	2020-02-11	"mv1"	118.856581716369
"201"	2020-02-12	"mv1"	192.871761030165
"202"	2020-02-13	"mv1"	207.655094363498
"203"	2020-02-14	"mv1"	219.838427696831
"204"	2020-02-15	"mv1"	224.455094363498
"205"	2020-02-16	"mv1"	235.155094363498
"206"	2020-02-17	"mv1"	278.702021738015
"207"	2020-02-18	"mv1"	367.779005648394
"208"	2020-02-19	"mv1"	618.005088318765
"209"	2020-02-20	"mv1"	902.158927911635
"210"	2020-02-21	"mv1"	1944.75569243659
"211"	2020-02-22	"mv1"	3709.1080745864
"212"	2020-02-23	"mv1"	4151.04915355844
"213"	2020-02-24	"mv1"	11601.0082013495
"214"	2020-02-25	"mv1"	12791.2678917065
"215"	2020-02-26	"mv1"	18657.103273254
"216"	2020-02-27	"mv1"	21969.0290811547
