"date"	"method"	"kits"
"1"	2020-02-08	"positive.rate"	0
"2"	2020-02-09	"positive.rate"	0
"3"	2020-02-10	"positive.rate"	0
"4"	2020-02-11	"positive.rate"	0
"5"	2020-02-12	"positive.rate"	0
"6"	2020-02-13	"positive.rate"	0
"7"	2020-02-14	"positive.rate"	0
"8"	2020-02-15	"positive.rate"	0
"9"	2020-02-16	"positive.rate"	0
"10"	2020-02-17	"positive.rate"	0
"11"	2020-02-18	"positive.rate"	0
"12"	2020-02-19	"positive.rate"	0
"13"	2020-02-20	"positive.rate"	0
"14"	2020-02-21	"positive.rate"	0
"15"	2020-02-22	"positive.rate"	0
"16"	2020-02-23	"positive.rate"	0
"17"	2020-02-24	"positive.rate"	0
"18"	2020-02-25	"positive.rate"	0
"19"	2020-02-26	"positive.rate"	0.933333333333333
"20"	2020-02-27	"positive.rate"	2.28333333333333
"21"	2020-02-28	"positive.rate"	4.25
"22"	2020-02-29	"positive.rate"	6.56666666666667
"23"	2020-03-01	"positive.rate"	7.85
"24"	2020-03-02	"positive.rate"	8.76666666666667
"25"	2020-03-03	"positive.rate"	10.1166666666667
"26"	2020-03-04	"positive.rate"	10.5833333333333
"27"	2020-03-05	"positive.rate"	11.25
"28"	2020-03-06	"positive.rate"	12.0166666666667
"29"	2020-03-07	"positive.rate"	30.9512744332845
"30"	2020-03-08	"positive.rate"	50.70033856487
"31"	2020-03-09	"positive.rate"	79.3050096510914
"32"	2020-03-10	"positive.rate"	111.392839638711
"33"	2020-03-11	"positive.rate"	148.000496113794
"34"	2020-03-12	"positive.rate"	239.625094363391
"35"	2020-03-13	"positive.rate"	420.128437656722
"36"	2020-03-14	"positive.rate"	452.643669656722
"37"	2020-03-15	"positive.rate"	462.044005425433
"38"	2020-03-16	"positive.rate"	482.080335131997
"39"	2020-03-17	"positive.rate"	483.61366846533
"40"	2020-03-18	"positive.rate"	493.398824129679
"41"	2020-03-19	"positive.rate"	494.79882412968
