,date,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1,2020-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2020-02-02,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-05,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
6,2020-02-06,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-02-09,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
10,2020-02-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-02-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-02-18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2020-02-19,2,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0
20,2020-02-20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0
21,2020-02-21,5,0,44,0,1,0,0,0,1,0,1,1,1,0,17,2,1
22,2020-02-22,2,2,67,0,3,1,0,1,2,0,2,0,1,0,106,2,1
23,2020-02-23,3,7,136,1,1,1,1,0,8,6,0,0,0,0,39,7,0
24,2020-02-24,4,8,152,0,2,1,0,0,12,0,0,0,0,0,19,9,0
25,2020-02-25,7,18,54,0,0,0,1,0,5,0,0,0,0,0,44,1,0
26,2020-02-26,8,13,184,1,0,0,1,0,3,0,2,1,0,0,36,4,0
27,2020-02-27,10,8,340,0,0,5,3,0,12,0,2,5,0,0,53,11,0
28,2020-02-28,7,5,296,1,0,4,5,0,11,0,3,9,2,0,74,10,0
29,2020-02-29,12,14,742,2,0,1,6,0,10,1,0,32,0,1,75,13,0
30,2020-03-01,8,4,512,0,0,0,0,0,8,0,1,12,0,1,48,1,0
31,2020-03-02,9,6,517,1,0,1,3,0,8,12,0,17,1,1,108,2,0
32,2020-03-03,7,2,520,0,2,0,0,0,2,1,0,4,1,0,59,1,1
33,2020-03-04,0,3,398,1,2,1,3,0,9,1,0,1,0,0,95,2,0
34,2020-03-05,5,0,326,1,0,1,0,0,7,2,1,4,0,0,81,9,1
35,2020-03-06,2,3,367,0,0,2,0,0,10,2,3,4,0,0,122,3,0
36,2020-03-07,3,1,390,0,0,0,0,1,10,1,5,2,0,0,65,5,0
37,2020-03-08,12,1,297,0,0,0,1,1,11,1,4,6,0,0,32,1,0
38,2020-03-09,10,0,190,0,2,0,0,3,12,1,1,4,0,0,25,0,0
39,2020-03-10,11,0,92,4,0,0,0,2,10,0,0,2,0,0,10,0,0
40,2020-03-11,53,2,131,12,0,0,1,2,11,1,2,8,0,0,18,1,0
41,2020-03-12,19,2,72,0,0,2,0,5,3,0,0,2,0,0,8,1,0
42,2020-03-13,12,1,61,2,0,2,2,17,8,0,0,1,0,0,4,0,0
43,2020-03-14,13,3,62,1,0,0,0,6,15,0,1,0,0,0,6,0,0
44,2020-03-15,9,3,41,1,1,0,1,1,11,0,3,0,0,0,4,0,0
45,2020-03-16,6,1,35,1,0,0,0,1,20,0,0,0,0,0,7,0,0
46,2020-03-17,12,0,32,1,0,0,0,0,31,0,0,0,0,0,5,1,0
47,2020-03-18,5,0,46,1,1,0,2,1,15,1,1,3,2,1,9,0,0
48,2020-03-19,12,0,97,0,0,0,6,0,18,0,1,0,1,0,12,0,0
49,2020-03-20,17,1,34,4,1,0,0,0,14,0,0,1,0,0,13,1,0
50,2020-03-21,15,0,69,4,0,0,0,0,12,0,1,0,0,0,40,0,0
51,2020-03-22,10,0,43,0,1,2,0,0,16,0,1,1,0,1,11,1,0
52,2020-03-23,6,1,24,0,0,0,0,1,14,0,2,0,0,0,2,1,0
53,2020-03-24,4,2,31,1,0,0,0,0,15,0,1,0,0,0,1,1,0
54,2020-03-25,13,1,14,1,0,0,1,2,21,1,0,3,0,2,5,0,2
55,2020-03-26,13,0,26,1,0,6,0,0,14,0,1,1,0,0,12,0,0
