date	day	week	n	person	p.r	oneday	twoday	threeday	fourday	fiveday	sixday	sevenday	oneweek	twoweek
2020-02-26	수	1	56	0	0	0	0	0	0	0	0	0	0	0
2020-02-27	목	1	81	0	0	0	0	0	0	0	0	0	0	0
2020-02-28	금	1	118	0	0	0	0	0	0	0	0	0	0	0
2020-02-29	토	1	139	0	0	0	0	0	0	0	0	0	0	0
2020-03-01	일	2	77	0	0	0	0	0	0	0	0	0	0	0
2020-03-02	월	2	55	0	0	0	0	0	0	0	0	0	0	0
2020-03-03	화	2	81	0	0	0	0	0	0	0	0	0	0	0
2020-03-04	수	2	28	0	0	0	0	0	0	0	0	0	0	0
2020-03-05	목	2	40	0	0	0	0	0	0	0	0	0	0	0
2020-03-06	금	2	46	0	0	0	0	0	0	0	0	0	0	0
2020-03-07	토	2	94	1	0.010638298	0	0	0	0	0	0	0	0	0
2020-03-08	일	3	102	1	0.009803922	0.010638298	0.005319149	0.003546099	0.002659574	0.00212766	0.00177305	0.001519757	0.001519757	0.000967118
2020-03-09	월	3	74	3	0.040540541	0.009803922	0.01022111	0.006814073	0.005110555	0.004088444	0.003407037	0.002920317	0.001519757	0.000967118
2020-03-10	화	3	136	2	0.014705882	0.040540541	0.025172231	0.020327587	0.01524569	0.012196552	0.010163793	0.008711823	0.001519757	0.000967118
2020-03-11	수	3	176	2	0.011363636	0.014705882	0.027623211	0.021683448	0.018922161	0.015137728	0.012614774	0.010812663	0.001519757	0.000967118
2020-03-12	목	3	441	5	0.011337868	0.011363636	0.013034759	0.022203353	0.019103495	0.017410456	0.014508713	0.01243604	0.001519757	0.000967118
2020-03-13	금	3	519	17	0.032755299	0.011337868	0.011350752	0.012469129	0.019486982	0.01755037	0.016398358	0.014055735	0.001519757	0.000967118
2020-03-14	토	3	50	6	0.12	0.032755299	0.022046584	0.018485601	0.017540671	0.022140645	0.020084525	0.018735064	0.001519757	0.000967118
2020-03-15	일	4	24	1	0.041666667	0.12	0.076377649	0.054697722	0.043864201	0.038032537	0.038450538	0.034358164	0.034358164	0.000967118
2020-03-16	월	4	105	1	0.00952381	0.041666667	0.080833333	0.064807322	0.051439958	0.043424694	0.038638225	0.038909985	0.034358164	0.000967118
2020-03-17	화	4	92	0	0	0.00952381	0.025595238	0.057063492	0.050986444	0.043056729	0.037774547	0.034479023	0.034358164	0.000967118
2020-03-18	수	4	26	1	0.038461538	0	0.004761905	0.017063492	0.042797619	0.040789155	0.035880607	0.032378183	0.034358164	0.000967118
2020-03-19	목	4	84	0	0	0.038461538	0.019230769	0.015995116	0.022413004	0.041930403	0.040401219	0.036249312	0.034358164	0.000967118
2020-03-20	금	4	44	0	0	0	0.019230769	0.012820513	0.011996337	0.017930403	0.034942002	0.034629616	0.034358164	0.000967118
2020-03-21	토	4	130	0	0	0	0	0.012820513	0.009615385	0.00959707	0.014942002	0.029950288	0.034358164	0.000967118
2020-03-22	일	5	68	0	0	0	0	0	0.009615385	0.007692308	0.007997558	0.012807431	0.012807431	0.023582797
2020-03-23	월	5	324	1	0.00308642	0	0	0	0	0.007692308	0.006410256	0.00685505	0.012807431	0.023582797
2020-03-24	화	5	148	0	0	0.00308642	0.00154321	0.001028807	0.000771605	0.000617284	0.00692466	0.005935423	0.012807431	0.023582797
2020-03-25	수	5	102	2	0.019607843	0	0.00154321	0.001028807	0.000771605	0.000617284	0.000514403	0.005935423	0.012807431	0.023582797
2020-03-26	목	5	90	0	0	0.019607843	0.009803922	0.007564754	0.005673566	0.004538853	0.003782377	0.003242038	0.012807431	0.023582797
2020-03-27	금	5	102	0	0	0	0.009803922	0.006535948	0.005673566	0.004538853	0.003782377	0.003242038	0.012807431	0.023582797
2020-03-28	토	5	83	0	0	0	0	0.006535948	0.004901961	0.004538853	0.003782377	0.003242038	0.012807431	0.023582797
2020-03-29	일	6	104	2	0.019230769	0	0	0	0.004901961	0.003921569	0.003782377	0.003242038	0.003242038	0.023582797
2020-03-30	월	6	68	0	0	0.019230769	0.009615385	0.006410256	0.004807692	0.007767722	0.006473102	0.00598929	0.003242038	0.023582797
2020-03-31	화	6	74	0	0	0	0.009615385	0.006410256	0.004807692	0.003846154	0.006473102	0.005548373	0.003242038	0.023582797
2020-04-01	수	6	99	0	0	0	0	0.006410256	0.004807692	0.003846154	0.003205128	0.005548373	0.003242038	0.023582797
2020-04-02	목	6	98	0	0	0	0	0	0.004807692	0.003846154	0.003205128	0.002747253	0.003242038	0.023582797
2020-04-03	금	6	95	0	0	0	0	0	0	0.003846154	0.003205128	0.002747253	0.003242038	0.023582797
2020-04-04	토	6	54	0	0	0	0	0	0	0	0.003205128	0.002747253	0.003242038	0.023582797
2020-04-05	일	7	33	0	0	0	0	0	0	0	0	0.002747253	0.002747253	0.002994645
2020-04-06	월	7	93	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-07	화	7	84	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-08	수	7	65	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-09	목	7	69	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-10	금	7	77	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-11	토	7	71	0	0	0	0	0	0	0	0	0	0.002747253	0.002994645
2020-04-12	일	8	39	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-13	월	8	83	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-14	화	8	88	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-15	수	8	101	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-16	목	8	72	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-17	금	8	54	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-18	토	8	42	0	0	0	0	0	0	0	0	0	0	0.002994645
2020-04-19	일	9	56	0	0	0	0	0	0	0	0	0	0	0
2020-04-20	월	9	55	0	0	0	0	0	0	0	0	0	0	0
2020-04-21	화	9	53	0	0	0	0	0	0	0	0	0	0	0
2020-04-22	수	9	51	0	0	0	0	0	0	0	0	0	0	0
2020-04-23	목	9	45	0	0	0	0	0	0	0	0	0	0	0
2020-04-24	금	9	63	0	0	0	0	0	0	0	0	0	0	0
2020-04-25	토	9	42	0	0	0	0	0	0	0	0	0	0	0
2020-04-26	일	10	28	0	0	0	0	0	0	0	0	0	0	0
2020-04-27	월	10	70	0	0	0	0	0	0	0	0	0	0	0
2020-04-28	화	10	30	0	0	0	0	0	0	0	0	0	0	0
2020-04-29	수	10	26	0	0	0	0	0	0	0	0	0	0	0
2020-04-30	목	10	26	0	0	0	0	0	0	0	0	0	0	0
2020-05-01	금	10	34	0	0	0	0	0	0	0	0	0	0	0
2020-05-02	토	10	47	0	0	0	0	0	0	0	0	0	0	0
2020-05-03	일	11	43	0	0	0	0	0	0	0	0	0	0	0
2020-05-04	월	11	47	0	0	0	0	0	0	0	0	0	0	0
2020-05-05	화	11	64	0	0	0	0	0	0	0	0	0	0	0
2020-05-06	수	11	48	0	0	0	0	0	0	0	0	0	0	0
2020-05-07	목	11	47	0	0	0	0	0	0	0	0	0	0	0
2020-05-08	금	11	93	0	0	0	0	0	0	0	0	0	0	0
2020-05-09	토	11	44	0	0	0	0	0	0	0	0	0	0	0
2020-05-10	일	12	48	0	0	0	0	0	0	0	0	0	0	0
2020-05-11	월	12	47	1	0.021276596	0	0	0	0	0	0	0	0	0
2020-05-12	화	12	93	0	0	0.021276596	0.010638298	0.007092199	0.005319149	0.004255319	0.003546099	0.003039514	0	0
2020-05-13	수	12	44	0	0	0	0.010638298	0.007092199	0.005319149	0.004255319	0.003546099	0.003039514	0	0
2020-05-14	목	12	88	0	0	0	0	0.007092199	0.005319149	0.004255319	0.003546099	0.003039514	0	0
2020-05-15	금	12	76	0	0	0	0	0	0.005319149	0.004255319	0.003546099	0.003039514	0	0
2020-05-16	토	12	52	0	0	0	0	0	0	0.004255319	0.003546099	0.003039514	0	0
